Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
CI5,11.7,11.7,0.0,0.0,0.0,0.0,328.0,0.0,16.5,9.0,0.0,0.0,32.0,4.5,0.0,0.0,5.0,0.0,1.8333333333333333,13719.512195121952
CIA,40.2,40.0,40.0,39.7,40.2,59400.0,76274.0,29624.0,68.2,33.6,4418.0,9.1,322.0,8.0,31.6,-0.46,19.0,350.0,2.0297619047619047,104.88501979704749
CID,2.2,2.2,0.0,0.0,0.0,0.0,90.0,0.0,20.5,1.9,0.0,0.0,2.0,1.08,0.0,-0.09,2.0,0.0,10.789473684210527,12000.0
CIG,2.45,2.4,2.42,2.42,2.55,980.0,22546.0,1788.0,3.3,1.9,99.0,24.7,77.0,31.54,6.6,0.54,0.0,90.0,1.736842105263158,1398.917768118513
CII,33.15,32.4,32.4,32.4,33.6,1226900.0,1132246.0,929499.0,40.4,29.4,5396.0,6.1,9276.0,279.81,27.3,0.6,21.0,3058.0,1.3741496598639455,247.12827424428966
CIP,10.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,11.6,10.0,0.0,0.0,45.0,4.55,0.0,0.0,6.0,0.0,1.16,168518.5185185185
CKD,15.2,15.2,0.0,0.0,0.0,0.0,1959.0,530.0,18.4,9.3,2888.0,5.3,471.0,31.0,13.9,0.0,21.0,2236.0,1.9784946236559138,15824.40020418581
CKH,3.7,3.7,0.0,0.0,0.0,0.0,9.0,0.0,7.1,3.7,0.0,0.0,4.0,1.04,0.0,0.0,66.0,0.0,1.9189189189189186,115555.55555555556
CKV,22.0,22.0,0.0,0.0,0.0,0.0,417.0,0.0,22.0,11.3,1070.0,20.6,89.0,4.05,21.3,0.26,5.0,1046.0,1.9469026548672566,9712.230215827338
CLC,34.0,34.0,34.4,34.0,34.4,16900.0,8653.0,12804.0,50.6,32.0,5405.0,6.3,668.0,19.66,34.0,0.12,24.0,8513.0,1.58125,2272.0443776724837
CLG,3.62,3.6,3.7,3.6,3.7,25110.0,11279.0,22134.0,7.3,3.5,291.0,12.4,77.0,21.15,12.1,0.52,0.0,544.0,2.085714285714286,1875.166238141679
